channel,count,percent
behomethansohoc7,32370,0.026823491976154686
thvl24news,24243,0.020089030459620575
baothanhnien.official,23322,0.01932584120691627
tuan_linh912k,21971,0.018206331239051424
genz.justdoit,21242,0.017602243328930425
nguyenanhtuan.official,20868,0.017292327172023354
tamtinhmebim.mcv,20598,0.017068590909015576
lifecoachtuean,19888,0.016480247402587717
vtvthoitiet,19477,0.01613967109112032
laihofficial,17782,0.01473510455112705
luonganhmyy,15496,0.012840804190994532
mcvtop.mcv,15488,0.012834174968386895
vothailamleo,14116,0.011697263291177002
vuilenreview,13458,0.011152009731698788
tranquangtien164,12702,0.01052554819527701
mcnguyenkhang,11968,0.009917317021026236
kenh14specialvn,11886,0.009849367489297949
thiendi180119,11555,0.009575083403906932
sharktankvn,11212,0.00929085548460446
cohoichoai,10780,0.008932877463792014
hoangngoctu68,10719,0.008882329641408776
baohancute205,10715,0.008879015030104957
neko.land23,10674,0.008845040264240813
thaihoang_huongnghiep,10415,0.008630419182318537
namkechuyenma,10347,0.008574070790153616
doctorhousing,10078,0.008351163179971793
nhuantamlinh,9919,0.008219407380644991
giaolocamxuc.beeent,9003,0.0074603613920704555
dangphuonglinh.com,8778,0.007273914506230641
phanhoangmyvietjetair,8658,0.007174476167116073
daothinhvuongofficial255,8500,0.007043549020615225
thehoangwork,8445,0.006997973115187715
tranle.phunu30cong,8436,0.006990515239754122
henantrua.mcv,8152,0.0067551778371829786
maggiemaggievn,7801,0.006464320695272867
tungbtkhoinghiep,7304,0.0060524802407733655
fptlongchau,7118,0.005898350815145785
vivodio,6943,0.005753336570603707
vyviqng,6926,0.005739249472562476
chuthienoi,6556,0.005432647926959225
phamcu95,6472,0.005363041089579028
5w1hpodcast,6455,0.005348953991537797
dongthaptv,6273,0.005198139177214036
minh.lecong,6218,0.005152563271786526
arian__111,6007,0.004977717525510077
dangdocgiday,5958,0.004937113537038296
hanquangdu,5896,0.004885737061829102
thayqueo,5798,0.004804529084885538
markusnguyen37,5774,0.004784641417062625
jaynguyen1101,5773,0.00478381276423667
tinmoinhat369,5674,0.004701776134467151
ngantalk,5556,0.004603995101004493
alexlevn,5548,0.004597365878396855
nhansohochieuminh,5498,0.004555933237099119
canmanhlinh,5403,0.004477211218633419
linhhoatam11,5370,0.004449865675376913
madisonmediagroup,5295,0.004387716713430308
suckhoegenz,5229,0.004333025626917296
nhile_anne92,4901,0.004061227500004143
congocphunxamtuongso,4895,0.004056255583048415
bacsi.hieu.official,4780,0.003960960508063621
huynhduykhuongofficial,4772,0.003954331285455983
pcm.studio,4723,0.003913727296984201
tntamnguyen92,4662,0.0038631794746009623
ngocyakultinvesting,4656,0.003858207557645234
thangbancaytinikun,4562,0.003780314192005489
minhxinchao,4501,0.00372976636962225
vietsuccess,4486,0.0037173365772329293
luongdinh1502,4475,0.003708221396147427
_sunnytarot_,4461,0.003696620256584061
vtv4go,4444,0.0036825331585428308
22_22_l,4424,0.003665960102023736
taylortichcuc,4409,0.0036535303096344148
vococenter_official,4377,0.0036270134192038636
chiemxi,4367,0.003618726890944316
minhtinhday,4367,0.003618726890944316
duocsyduythuc90,4355,0.0036087830570328593
thalicvoice,4347,0.0036021538344252215
chuyenkinhdoanh_z,4300,0.003563207151605349
drchubbyderma,4272,0.0035400048724786165
earthlovers1111,4270,0.003538347566826707
vtcnow,4198,0.0034786845633579663
ngao_bao,4189,0.0034712266879243737
8saigon,4126,0.0034190215598892256
ngominhtuan.official,4093,0.0033916760166327197
bukamidilam,4017,0.00332869840186016
duynghiem.dgi,3974,0.0032930663303441065
duongwiki,3950,0.0032731786625211927
bs.ngomonghung,3935,0.003260748870131872
dtn.tuoidaythi,3879,0.003214344311878407
vtvgiaitriofficial,3875,0.0032110297005745877
phaminhiu,3860,0.003198599908185267
thansohocdinhhuong369,3836,0.0031787122403623535
tanab.ne,3825,0.0031695970592768513
lepthelittlekid,3820,0.0031654537951470775
syhuyvuituoi,3786,0.0031372795990646167
gasachh,3781,0.0031331363349348432
quynhnhu.lifecoach,3644,0.0030196108977790445
phammaihuong.pmh,3628,0.003006352452563769
phongthuythuctam,3607,0.0029889507432187194
onlycofficial,3605,0.0029872934375668103
otingting_networks,3531,0.00292597312844616
luatsubinh,3523,0.0029193439058385223
khanh.sartorial,3430,0.002842279193024732
gwynethtarot777,3427,0.002839793234546868
maiivi8,3405,0.0028215628723758635
ddttam,3323,0.0027536133406475755
thuuyendaylight,3323,0.0027536133406475755
ngocbinhtamly,3322,0.0027527846878216207
ntcong5,3315,0.0027469841180399377
huydao,3307,0.0027403548954323
fisc.vn,3290,0.0027262677973910695
landoanhr,3202,0.002653346348707053
hantuyentech,3150,0.002610256401757407
anhduc.masterlife,3144,0.0026052844848016786
chiyeuthoichuadu,3125,0.0025895400811085387
coin68tv,3090,0.002560537232200123
onhadocsach,3085,0.0025563939680703493
sieusaobongda09,3082,0.002553908009592485
metv.tiktok,3077,0.0025497647454627115
sunhuynn,3032,0.0025124753682947486
ieltsmentor.vietnam,3027,0.0025083321041649747
huuthinhbs,2953,0.0024470117950443245
insidethebox.cchn,2941,0.002437067961132868
1900.6996_,2922,0.002421323557439728
brands_untold,2919,0.0024188375989618637
nhungvahung,2887,0.0023923207085313125
chinhchualon,2847,0.002359174595493123
vtv24news,2838,0.0023517167200595305
hoaquynh0000,2833,0.0023475734559297566
bocphottaichinh,2824,0.002340115580496164
thongtruyentin,2766,0.00229205371659079
28perfume1,2748,0.0022771379657236046
trumdidong.vn,2739,0.002269680090290012
ducreaction,2727,0.002259736256378555
duyluandethuong,2722,0.0022555929922487817
lamkhoinghiep,2677,0.0022183036150808183
sebt.ccs,2623,0.002173556362479263
tuquyenlifecoach,2621,0.0021718990568273533
minhminhhuongzai,2599,0.0021536686946563494
nkhanhm2605,2593,0.002148696777700621
taiphen,2549,0.0021122360533586126
linhthaiofficial,2516,0.0020848905101021067
behindthebeauty_zstudio,2512,0.0020815758987982875
chanchuoi.com,2507,0.002077432634668514
realpewpew,2493,0.0020658314951051476
truyenthongkhangofficial,2480,0.0020550590083677363
cudau8,2475,0.0020509157442379624
risingvietnam.podcast,2470,0.002046772480108189
nhitho2000,2410,0.001997053310550905
yoursupp.vn,2372,0.0019655645031646254
anphat.official,2369,0.001963078544686761
dc.podcast,2359,0.0019547920164272137
ggstravel.khamphanhatban,2355,0.0019514774051233948
linh.gb,2327,0.0019282751259966622
unofficiallykyky,2316,0.00191915994491116
huetran_taydanang,2285,0.0018934717073065634
naiverosie,2256,0.0018694407753538761
zing.podcast,2255,0.0018686121225279214
thanhhoctaichinh,2238,0.001854525024486691
vietcetera_,2228,0.0018462384962271436
_celine_nguyen,2202,0.0018246935227523207
vinhvatvofake,2200,0.001823036217100411
saigonteu,2196,0.0018197216057965922
haitrieucareer,2178,0.001804805854929407
nguoilamphim69,2161,0.0017907187568881767
ngatpronlp,2139,0.0017724883947171726
quankhonggo,2136,0.0017700024362393083
kieu06011993,2093,0.001734370364723255
nguyenthu.official,2089,0.0017310557534194358
hoangreaction,2087,0.0017293984477675264
truongphuongne,2077,0.001721111919507979
hongthuy68.78,2045,0.0016945950290774277
vn.joboko,2014,0.001668906791472831
khatienganh,2005,0.0016614489160392384
vatvostudio,1975,0.0016365893312605964
chill_with_dan,1953,0.0016183589690895923
hochoimoingaymoi,1948,0.0016142157049598186
hunghuynhdaotao,1937,0.0016051005238743165
ha_hips,1921,0.0015918420786590409
vantoi.calis,1912,0.0015843842032254483
duocsythaophan,1900,0.0015744403693139914
luongngo.lifecoach,1886,0.0015628392297506253
spiderumcareerguide,1867,0.0015470948260574854
dr.ngomonghung,1834,0.0015197492828009792
chieu.tarotcorner,1816,0.001504833531933794
find.forward,1814,0.0015031762262818845
codaolivestream,1792,0.0014849458641108804
meowamnhac,1776,0.0014716874188956046
bietduladuu,1768,0.0014650581962879668
theinfluencer.vn,1766,0.0014634008906360574
vybarnouin,1741,0.001442684569987189
haiichieu,1716,0.0014219682493383206
gioiielts98,1709,0.0014161676795566376
civilis.duhochanquoc,1705,0.0014128530682528187
leo.cuong,1680,0.0013921367476039503
chuyennghe_,1650,0.0013672771628253084
baothoalifecoach,1650,0.0013672771628253084
dotoearn,1634,0.0013540187176100326
chuyen_n,1618,0.001340760272394757
iiiiphone,1580,0.0013092714650084771
binh_storyteller,1577,0.001306785506530613
nmc.act,1565,0.001296841672619156
datio89,1557,0.0012902124500115183
haluatsu,1550,0.001284411880229835
coachingmaster,1546,0.0012810972689260161
nguyencanhluan,1543,0.001278611310448152
truesmart.vn,1542,0.0012777826576221972
catherineyenpham,1526,0.0012645242124069216
paulduongcanada,1518,0.0012578949897992836
datphinguyen,1497,0.0012404932804542343
thedev_dad,1492,0.0012363500163244607
marketingthucchien,1489,0.0012338640578465965
chauchaukemtienganh,1476,0.001223091571109185
the.tri.way,1451,0.0012023752504603167
sabrina.uyenluu,1449,0.001200717944808407
phieunoinhieu,1443,0.0011957460278526788
nqs.kinhte,1441,0.0011940887222007693
a8hamhoc,1435,0.0011891168052450408
chualanhporn,1426,0.0011816589298114482
tinesomot,1422,0.0011783443185076293
chubandaugio,1414,0.0011717150958999915
tu_nguyen_it,1398,0.0011584566506847157
dieuhoalanggo,1376,0.0011402262885137117
cellphones.updatedoday,1370,0.0011352543715579834
ngulong.official,1370,0.0011352543715579834
mcworld_daotaokynangmem,1363,0.0011294538017763002
fpteduchill,1356,0.0011236532319946172
hien.thichhat,1354,0.0011219959263427076
xuan_affiliate,1342,0.001112052092431251
digistockvn,1320,0.0010938217302602466
nguyenque.lifecoach,1317,0.0010913357717823825
innerspacevn,1316,0.0010905071189564277
naniosaka,1310,0.0010855352020006995
snoop.pi,1280,0.0010606756172220574
neyakowo,1272,0.0010540463946144196
longkhoahoc,1257,0.0010416166022250985
hieutheconsul,1239,0.0010267008513579134
bbgchannel,1235,0.0010233862400540945
roseway68,1219,0.0010101277948388187
thesimpleha,1215,0.0010068131835349998
coimodi,1214,0.001005984530709045
petjoy_chamsocthucung,1199,0.0009935547383197242
duongduongpodcast,1197,0.0009918974326678146
dyhayho,1192,0.000987754168538041
hatdecuoi75,1169,0.0009686951535410821
radiotamsu03,1158,0.00095957997245558
wesleyn313,1152,0.0009546080554998517
binochemtienganh,1146,0.0009496361385441232
dsnhidong,1096,0.0009082034972463866
tkventuresvn,1096,0.0009082034972463866
thegeomedic,1083,0.0008974310105089752
love_and_maturity,1076,0.000891630440727292
hanhchiase.xaykenh,1073,0.0008891444822494278
pphicoach,1073,0.0008891444822494278
toiyeuvietnam1975,1049,0.0008692568144265143
hiubokho,1045,0.0008659422031226953
mitaminhtan,1010,0.0008369393542142796
ruto1009,1009,0.000836110701388325
kienkhongngu_official,1007,0.0008344533957364155
tamsuconggiao,1004,0.0008319674372585513
anhtuanle2304,977,0.0008095938109577735
apinvy,962,0.0007971640185684525
xangthuonghieu1,962,0.0007971640185684525
ami_wellness,952,0.0007888774903089052
nguyen2hoang2long,949,0.000786391531831041
hoangmanh8383,949,0.000786391531831041
nguyenphuonghuyen_tsh,946,0.0007839055733531768
hqbt_laodonghanquoc,937,0.0007764476979195842
duyyy.real.channel,934,0.00077396173944172
langhoa.workout,932,0.0007723044337898105
msngan.panda,932,0.0007723044337898105
dhcvietnam.com.vn,926,0.0007673325168340822
mixximuse0305,925,0.0007665038640081274
bahuy.henry,920,0.0007623605998783538
homeenglishvn,889,0.0007366723622737571
dongocthien_hip,888,0.0007358437094478023
hongtotheheart,888,0.0007358437094478023
trungthucedu,887,0.0007350150566218476
anratot102,880,0.0007292144868401645
trungluatsu,877,0.0007267285283623003
weshare.asia,877,0.0007267285283623003
lydapotato,867,0.000718442000102753
bamboocareers,866,0.0007176133472767982
mai_luong_tsh,865,0.0007167846944508434
tizidichlep.official,861,0.0007134700831470245
dangthuhaf,854,0.0007076695133653414
sangsang2x,852,0.000706012207713432
hocvientommy,850,0.0007043549020615225
linhmayy03,846,0.0007010402907577036
mountain_nguyen,818,0.0006778380116309711
auhomaiuyn,812,0.0006728660946752426
linhmayy2003,809,0.0006703801361973785
thanh.nv,805,0.0006670655248935595
phamnguyenanhtu38h1,802,0.0006645795664156954
cafetek,802,0.0006645795664156954
makebelieveshow,791,0.0006554643853301933
wingmanvn,763,0.0006322621062034608
cohathu.wegrow,733,0.0006074025214248188
g84lebichngoc,730,0.0006049165629469546
kenjinguyendinh,723,0.0005991159931652715
soncalltech,723,0.0005991159931652715
quyquy_2,716,0.0005933154233835884
the.innovators,710,0.00058834350642786
kobe.media79,704,0.0005833715894721315
gearvn.store,704,0.0005833715894721315
dr.hieuielts,702,0.0005817142838202221
thuyle2000,700,0.0005800569781683126
chiemthanhlich,695,0.000575913714038539
macyennhu,694,0.0005750850612125843
astromazing.com,683,0.0005659698801270822
vuongtuhoayogi,672,0.0005568546990415801
luatsux,671,0.0005560260462156254
trieuvandeptrai,661,0.0005477395179560781
adminkhaofficial,652,0.0005402816425224855
chungkhoannessi,650,0.0005386243368705761
vttm_official,646,0.000535309725566757
taotechvn,623,0.0005162507105697982
mcanhphuong,620,0.0005137647520919341
bobsgb,619,0.0005129360992659793
quang.tm,614,0.0005087928351362056
anthonyngofficial,596,0.0004938770842690205
duyennguyenkd,594,0.000492219778617111
bacsicaohuuthinh,594,0.000492219778617111
lantechvn,580,0.00048061863905374475
mixigaming,565,0.00046818884666442376
phuongcongnghe,558,0.00046238827688274063
quynhcuaneee,530,0.00043918599775600816
topcv,516,0.0004275848581926419
hungkhucc,503,0.00041681237145523036
lenkangoo,489,0.0004052112318918641
camvothuat,481,0.00039858200928422625
nawngs.official,455,0.00037703703580940323
caocuongvu,446,0.00036957916037581065
tan.sualaptop,443,0.0003670932018979464
ph.khg,437,0.000362121284942218
phamcanhlinh,435,0.00036046397929030856
rose.ng_,434,0.00035963532646435384
phuongnamcomedian,434,0.00035963532646435384
sitcomtaichinh,429,0.00035549206233458016
fqa.mp5,417,0.0003455482284231234
radiotuanngoc,412,0.0003414049642933497
thayleodeptrai,411,0.000340576311467395
khanhvyccf,404,0.00033477574168571186
truyd,400,0.00033146113038189296
tinhlong123,398,0.00032980382472998346
withvung,395,0.0003273178662521193
baophuonglatui,395,0.0003273178662521193
binyetvlog,389,0.0003223459492963909
hianle21.marketing,385,0.000319031337992572
bimatgoogle,378,0.00031323076821088884
dong.congnghe,364,0.0003016296286475226
vietargue,360,0.00029831501734370363
cobaedit7,352,0.00029168579473606577
sonapple88,348,0.00028837118343224687
dangbeo9,348,0.00028837118343224687
thangmucbang,312,0.0002585396816978765
quoctruong1988,304,0.00025191045909023864
kich.nghe,293,0.00024279527800473658
alongoc.nghe,293,0.00024279527800473658
chau_muoi,292,0.00024196662517878185
phamquyet15121,291,0.00024113797235282713
bathucfood,287,0.0002378233610490082
htx.tienbo,282,0.00023368009691923452
phucmapvlog,276,0.00022870817996350614
_thangtaipei_,270,0.00022373626300777773
chubeo.dayyy,257,0.00021296377627036623
kienthanhle90,245,0.00020301994235890941
trananhtu249,242,0.00020053398388104524
masteranhducpro,238,0.0001972193725772263
tunggg.pham,235,0.0001947334140993621
nonkhanran,231,0.00019141880279554318
ccamthao,221,0.00018313227453599585
saigonspringroll,218,0.00018064631605813164
virussvn,205,0.00016987382932072013
duyentuban,204,0.0001690451764947654
hitmaker.talkshow,198,0.000164073259539037
dicungdat,191,0.00015827268975735387
dyxahmazl7at,185,0.0001533007728016255
dungbanvang,176,0.00014584289736803289
giangoivlog,169,0.00014004232758634976
mioilami,155,0.00012844118802298352
meizkhumm,151,0.0001251265767191646
marketingcungadam,145,0.00012015465976343619
danchoihetao,128,0.00010606756172220574
tieuthu.chanrau,119,9.860968628861316e-05
hungdidu1907,118,9.778103346265842e-05
topupodcast,112,9.280911650693002e-05
anhsacanh.marketik,110,9.115181085502056e-05
manlethe,103,8.535124107333743e-05
mcmisthy,102,8.45225882473827e-05
dinovux,99,8.20366297695185e-05
son.me.hoc,85,7.043549020615225e-05
thuyvuongday,81,6.712087890233333e-05
moedidauu,59,4.889051673132921e-05
giangkechuyen,58,4.8061863905374476e-05
mtsmart.vn,58,4.8061863905374476e-05
thanhdaunguyen3,50,4.143264129773662e-05
langmaster_entertainment,41,3.3974765864144025e-05
gaufamilyy,40,3.3146113038189293e-05
kthahh,40,3.3146113038189293e-05
remind.ne,28,2.3202279126732506e-05
emanhbobeo02,12,9.943833911456789e-06
vietrilieu1006,10,8.286528259547323e-06
